host_time_iso,host_t_ms,t_ms_device,x,y,z,stat1,stat2
2026-03-27 20:38:10.305,1774643890305.400,18962,32752,32020,-15714,1,1
2026-03-27 20:38:10.305,1774643890305.500,18970,32752,32016,-15701,1,1
2026-03-27 20:38:10.335,1774643890335.600,18980,32752,32020,-15710,1,1
2026-03-27 20:38:10.335,1774643890335.600,18990,32752,32020,-15720,1,1
2026-03-27 20:38:10.335,1774643890335.600,19000,32752,32017,-15714,1,1
2026-03-27 20:38:10.335,1774643890335.700,19008,32752,32023,-15711,1,1
2026-03-27 20:38:10.364,1774643890364.200,19018,32752,32020,-15709,1,1
2026-03-27 20:38:10.365,1774643890365.200,19028,32752,32015,-15706,1,1
2026-03-27 20:38:10.365,1774643890365.200,19038,32752,32023,-15710,1,1
2026-03-27 20:38:10.394,1774643890394.200,19046,32752,32017,-15714,1,1
2026-03-27 20:38:10.395,1774643890395.200,19056,32752,32022,-15715,1,1
2026-03-27 20:38:10.395,1774643890395.200,19066,32752,32015,-15708,1,1
2026-03-27 20:38:10.424,1774643890424.200,19076,32752,32011,-15709,1,1
2026-03-27 20:38:10.425,1774643890425.200,19085,32752,32021,-15707,1,1
2026-03-27 20:38:10.425,1774643890425.200,19095,32752,32015,-15714,1,1
2026-03-27 20:38:10.454,1774643890454.300,19105,32752,32018,-15709,1,1
2026-03-27 20:38:10.455,1774643890455.400,19115,32752,32016,-15712,1,1
2026-03-27 20:38:10.455,1774643890455.400,19123,32752,32018,-15710,1,1
2026-03-27 20:38:10.455,1774643890455.500,19133,32752,32013,-15709,1,1
2026-03-27 20:38:10.484,1774643890484.700,19143,32752,32020,-15705,1,1
2026-03-27 20:38:10.484,1774643890484.800,19153,32752,32017,-15709,1,1
2026-03-27 20:38:10.484,1774643890484.800,19161,32752,32024,-15706,1,1
2026-03-27 20:38:10.515,1774643890515.400,19171,32752,32016,-15710,1,1
2026-03-27 20:38:10.515,1774643890515.600,19181,32752,32020,-15716,1,1
2026-03-27 20:38:10.515,1774643890515.600,19191,32752,32019,-15709,1,1
2026-03-27 20:38:10.547,1774643890547.000,19200,32752,32017,-15711,1,1
2026-03-27 20:38:10.547,1774643890547.100,19210,32752,32017,-15708,1,1
2026-03-27 20:38:10.547,1774643890547.100,19220,32752,32020,-15714,1,1
2026-03-27 20:38:10.574,1774643890574.100,19228,32752,32016,-15708,1,1
2026-03-27 20:38:10.575,1774643890575.200,19238,32752,32018,-15713,1,1
2026-03-27 20:38:10.575,1774643890575.200,19248,32752,32016,-15710,1,1
2026-03-27 20:38:10.605,1774643890605.600,19258,32752,32016,-15712,1,1
2026-03-27 20:38:10.605,1774643890605.700,19266,32752,32014,-15709,1,1
2026-03-27 20:38:10.605,1774643890605.800,19276,32752,32020,-15706,1,1
2026-03-27 20:38:10.634,1774643890634.100,19286,32752,32020,-15710,1,1
2026-03-27 20:38:10.635,1774643890635.400,19296,32752,32022,-15711,1,1
2026-03-27 20:38:10.635,1774643890635.500,19305,32752,32015,-15709,1,1
2026-03-27 20:38:10.664,1774643890664.800,19315,32752,32017,-15715,1,1
2026-03-27 20:38:10.665,1774643890665.000,19325,32752,32019,-15713,1,1
2026-03-27 20:38:10.665,1774643890665.000,19335,32752,32017,-15711,1,1
2026-03-27 20:38:10.665,1774643890665.900,19343,32752,32020,-15706,1,1
2026-03-27 20:38:10.693,1774643890693.800,19353,32752,32015,-15711,1,1
2026-03-27 20:38:10.694,1774643890694.700,19363,32752,32018,-15709,1,1
2026-03-27 20:38:10.694,1774643890694.800,19371,32752,32024,-15710,1,1
2026-03-27 20:38:10.724,1774643890724.200,19382,32752,32017,-15711,1,1
2026-03-27 20:38:10.725,1774643890725.100,19391,32752,32018,-15713,1,1
2026-03-27 20:38:10.725,1774643890725.200,19401,32752,32015,-15707,1,1
2026-03-27 20:38:10.754,1774643890754.200,19410,32752,32016,-15708,1,1
2026-03-27 20:38:10.755,1774643890755.300,19420,32752,32017,-15711,1,1
2026-03-27 20:38:10.755,1774643890755.300,19430,32752,32024,-15711,1,1
2026-03-27 20:38:10.785,1774643890785.200,19438,32752,32011,-15709,1,1
2026-03-27 20:38:10.785,1774643890785.300,19448,32752,32014,-15709,1,1
2026-03-27 20:38:10.785,1774643890785.300,19458,32752,32020,-15713,1,1
2026-03-27 20:38:10.814,1774643890814.200,19468,32752,32015,-15709,1,1
2026-03-27 20:38:10.815,1774643890815.200,19477,32752,32014,-15713,1,1
2026-03-27 20:38:10.815,1774643890815.200,19487,32752,32022,-15709,1,1
2026-03-27 20:38:10.844,1774643890844.200,19497,32752,32016,-15704,1,1
2026-03-27 20:38:10.845,1774643890845.200,19505,32752,32020,-15710,1,1
2026-03-27 20:38:10.846,1774643890846.700,19515,32752,32012,-15712,1,1
2026-03-27 20:38:10.875,1774643890875.500,19525,32752,32016,-15714,1,1
2026-03-27 20:38:10.875,1774643890875.700,19535,32752,32021,-15708,1,1
2026-03-27 20:38:10.875,1774643890875.700,19544,32752,32020,-15715,1,1
2026-03-27 20:38:10.875,1774643890875.700,19553,32752,32017,-15719,1,1
2026-03-27 20:38:10.904,1774643890904.800,19564,32752,32018,-15716,1,1
2026-03-27 20:38:10.906,1774643890906.300,19572,32752,32018,-15714,1,1
2026-03-27 20:38:10.906,1774643890906.300,19582,32752,32016,-15714,1,1
2026-03-27 20:38:10.934,1774643890934.200,19592,32752,32018,-15703,1,1
2026-03-27 20:38:10.935,1774643890935.200,19602,32752,32022,-15708,1,1
2026-03-27 20:38:10.935,1774643890935.300,19612,32752,32016,-15712,1,1
2026-03-27 20:38:10.965,1774643890965.000,19620,32752,32020,-15712,1,1
2026-03-27 20:38:10.966,1774643890966.300,19630,32752,32014,-15707,1,1
2026-03-27 20:38:10.966,1774643890966.400,19640,32752,32013,-15711,1,1
2026-03-27 20:38:10.994,1774643890994.400,19648,32752,32016,-15705,1,1
2026-03-27 20:38:10.995,1774643890995.400,19658,32752,32014,-15707,1,1
2026-03-27 20:38:10.995,1774643890995.500,19668,32752,32015,-15719,1,1
2026-03-27 20:38:11.024,1774643891024.500,19678,32752,32020,-15710,1,1
2026-03-27 20:38:11.025,1774643891025.400,19687,32752,32020,-15713,1,1
2026-03-27 20:38:11.025,1774643891025.500,19696,32752,32019,-15709,1,1
2026-03-27 20:38:11.054,1774643891054.500,19707,32752,32017,-15706,1,1
2026-03-27 20:38:11.055,1774643891055.400,19717,32752,32015,-15712,1,1
2026-03-27 20:38:11.055,1774643891055.400,19725,32752,32021,-15704,1,1
2026-03-27 20:38:11.084,1774643891084.400,19735,32752,32021,-15706,1,1
2026-03-27 20:38:11.085,1774643891085.400,19745,32752,32014,-15705,1,1
2026-03-27 20:38:11.085,1774643891085.400,19753,32752,32023,-15710,1,1
2026-03-27 20:38:11.085,1774643891085.500,19763,32752,32020,-15710,1,1
2026-03-27 20:38:11.114,1774643891114.700,19774,32752,32017,-15715,1,1
2026-03-27 20:38:11.114,1774643891114.700,19784,32752,32013,-15712,1,1
2026-03-27 20:38:11.115,1774643891115.700,19792,32752,32019,-15705,1,1
2026-03-27 20:38:11.145,1774643891145.000,19802,32752,32010,-15713,1,1
2026-03-27 20:38:11.146,1774643891146.300,19812,32752,32019,-15709,1,1
2026-03-27 20:38:11.146,1774643891146.400,19822,32752,32018,-15712,1,1
2026-03-27 20:38:11.174,1774643891174.300,19830,32752,32020,-15715,1,1
2026-03-27 20:38:11.175,1774643891175.200,19840,32752,32015,-15712,1,1
2026-03-27 20:38:11.175,1774643891175.300,19850,32752,32015,-15711,1,1
2026-03-27 20:38:11.204,1774643891204.300,19860,32752,32017,-15711,1,1
