host_time_iso,host_t_ms,t_ms_device,x,y,z,stat1,stat2
2026-03-27 21:43:27.616,1774647807616.300,3936221,32752,32300,-18056,1,1
2026-03-27 21:43:27.616,1774647807616.500,3936231,32752,32298,-18055,1,1
2026-03-27 21:43:27.616,1774647807616.500,3936241,32752,32301,-18053,1,1
2026-03-27 21:43:27.633,1774647807633.100,3936250,32752,32300,-18049,1,1
2026-03-27 21:43:27.633,1774647807633.100,3936260,32752,32297,-18060,1,1
2026-03-27 21:43:27.633,1774647807633.200,3936270,32752,32303,-18055,1,1
2026-03-27 21:43:27.662,1774647807662.800,3936278,32752,32300,-18057,1,1
2026-03-27 21:43:27.662,1774647807662.900,3936288,32752,32297,-18059,1,1
2026-03-27 21:43:27.663,1774647807663.000,3936298,32752,32294,-18055,1,1
2026-03-27 21:43:27.691,1774647807691.800,3936308,32752,32300,-18055,1,1
2026-03-27 21:43:27.692,1774647807692.800,3936317,32752,32296,-18051,1,1
2026-03-27 21:43:27.692,1774647807692.900,3936327,32752,32294,-18056,1,1
2026-03-27 21:43:27.692,1774647807692.900,3936336,32752,32299,-18051,1,1
2026-03-27 21:43:27.721,1774647807721.800,3936345,32752,32295,-18050,1,1
2026-03-27 21:43:27.723,1774647807723.000,3936355,32752,32300,-18050,1,1
2026-03-27 21:43:27.723,1774647807723.000,3936365,32752,32298,-18056,1,1
2026-03-27 21:43:27.751,1774647807751.800,3936375,32752,32296,-18055,1,1
2026-03-27 21:43:27.753,1774647807753.100,3936383,32752,32297,-18052,1,1
2026-03-27 21:43:27.753,1774647807753.100,3936393,32752,32296,-18052,1,1
2026-03-27 21:43:27.781,1774647807781.600,3936403,32752,32294,-18052,1,1
2026-03-27 21:43:27.782,1774647807782.800,3936413,32752,32303,-18055,1,1
2026-03-27 21:43:27.782,1774647807782.800,3936423,32752,32297,-18055,1,1
2026-03-27 21:43:27.812,1774647807812.900,3936431,32752,32290,-18054,1,1
2026-03-27 21:43:27.813,1774647807813.000,3936441,32752,32300,-18054,1,1
2026-03-27 21:43:27.813,1774647807813.000,3936451,32752,32297,-18054,1,1
2026-03-27 21:43:27.842,1774647807842.200,3936460,32752,32297,-18056,1,1
2026-03-27 21:43:27.843,1774647807843.400,3936470,32752,32302,-18057,1,1
2026-03-27 21:43:27.843,1774647807843.500,3936480,32752,32302,-18049,1,1
2026-03-27 21:43:27.903,1774647807903.700,3936488,32752,32294,-18050,1,1
2026-03-27 21:43:27.903,1774647807903.800,3936498,32752,32299,-18057,1,1
2026-03-27 21:43:27.903,1774647807903.900,3936508,32752,32300,-18057,1,1
2026-03-27 21:43:27.903,1774647807903.900,3936518,32752,32294,-18053,1,1
2026-03-27 21:43:27.904,1774647807904.900,3936528,32752,32294,-18049,1,1
2026-03-27 21:43:27.905,1774647807905.000,3936536,32752,32297,-18051,1,1
2026-03-27 21:43:27.933,1774647807933.400,3936549,32752,32298,-18054,1,1
2026-03-27 21:43:27.933,1774647807933.500,3936555,32752,32301,-18055,1,1
2026-03-27 21:43:27.933,1774647807933.600,3936565,32752,32301,-18056,1,1
2026-03-27 21:43:27.933,1774647807933.600,3936575,32752,32302,-18057,1,1
2026-03-27 21:43:27.961,1774647807961.900,3936585,32752,32302,-18056,1,1
2026-03-27 21:43:27.963,1774647807963.300,3936593,32752,32298,-18051,1,1
2026-03-27 21:43:27.963,1774647807963.300,3936603,32752,32297,-18054,1,1
2026-03-27 21:43:28.023,1774647808023.600,3936613,32752,32299,-18048,1,1
2026-03-27 21:43:28.024,1774647808024.200,3936623,32752,32298,-18051,1,1
2026-03-27 21:43:28.024,1774647808024.300,3936632,32752,32294,-14431,1,1
