host_time_iso,host_t_ms,t_ms_device,x,y,z,stat1,stat2
2026-03-27 21:21:10.358,1774646470358.100,2598987,32752,32321,-17998,1,1
2026-03-27 21:21:10.358,1774646470358.300,2598997,32752,32327,-18000,1,1
2026-03-27 21:21:10.358,1774646470358.300,2599007,32752,32323,-17999,1,1
2026-03-27 21:21:10.386,1774646470386.700,2599016,32752,32319,-17996,1,1
2026-03-27 21:21:10.388,1774646470388.000,2599026,32752,32327,-18003,1,1
2026-03-27 21:21:10.388,1774646470388.000,2599036,32752,32321,-18004,1,1
2026-03-27 21:21:10.417,1774646470417.200,2599046,32752,32321,-18001,1,1
2026-03-27 21:21:10.417,1774646470417.300,2599054,32752,32319,-18004,1,1
2026-03-27 21:21:10.418,1774646470418.400,2599064,32752,32326,-18001,1,1
2026-03-27 21:21:10.447,1774646470447.500,2599074,32752,32321,-17995,1,1
2026-03-27 21:21:10.448,1774646470448.800,2599084,32752,32321,-18002,1,1
2026-03-27 21:21:10.448,1774646470448.800,2599092,32752,32323,-17998,1,1
2026-03-27 21:21:10.448,1774646470448.900,2599102,32752,32321,-18003,1,1
2026-03-27 21:21:10.477,1774646470477.200,2599112,32752,32322,-18004,1,1
2026-03-27 21:21:10.478,1774646470478.100,2599122,32752,32322,-17999,1,1
2026-03-27 21:21:10.478,1774646470478.200,2599131,32752,32324,-18000,1,1
2026-03-27 21:21:10.508,1774646470508.200,2599141,32752,32323,-18004,1,1
2026-03-27 21:21:10.508,1774646470508.300,2599151,32752,32324,-18005,1,1
2026-03-27 21:21:10.508,1774646470508.300,2599160,32752,32325,-18000,1,1
2026-03-27 21:21:10.536,1774646470536.700,2599169,32752,32320,-17997,1,1
2026-03-27 21:21:10.537,1774646470537.700,2599179,32752,32320,-18001,1,1
2026-03-27 21:21:10.537,1774646470537.700,2599189,32752,32327,-17999,1,1
2026-03-27 21:21:10.567,1774646470567.500,2599197,32752,32325,-18001,1,1
2026-03-27 21:21:10.569,1774646470569.000,2599207,32752,32324,-17999,1,1
2026-03-27 21:21:10.569,1774646470569.100,2599217,32752,32321,-18006,1,1
2026-03-27 21:21:10.597,1774646470597.600,2599226,32752,32323,-18005,1,1
2026-03-27 21:21:10.598,1774646470598.400,2599236,32752,32324,-17997,1,1
2026-03-27 21:21:10.601,1774646470601.300,2599246,32752,32327,-18002,1,1
2026-03-27 21:21:10.629,1774646470629.800,2599256,32752,32325,-18003,1,1
2026-03-27 21:21:10.629,1774646470629.800,2599264,32752,32330,-18003,1,1
2026-03-27 21:21:10.629,1774646470629.800,2599274,32752,32321,-18000,1,1
2026-03-27 21:21:10.658,1774646470658.600,2599284,32752,32326,-17999,1,1
2026-03-27 21:21:10.658,1774646470658.700,2599294,32752,32323,-18004,1,1
2026-03-27 21:21:10.658,1774646470658.700,2599302,32752,32323,-18006,1,1
2026-03-27 21:21:10.658,1774646470658.800,2599312,32752,32325,-18001,1,1
2026-03-27 21:21:10.687,1774646470687.400,2599322,32752,32321,-18000,1,1
2026-03-27 21:21:10.688,1774646470688.700,2599332,32752,32318,-18001,1,1
2026-03-27 21:21:10.688,1774646470688.700,2599341,32752,32321,-18002,1,1
2026-03-27 21:21:10.716,1774646470716.400,2599351,32752,32317,-18000,1,1
2026-03-27 21:21:10.717,1774646470717.200,2599361,32752,32318,-17995,1,1
